epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,2911.77,1.29039,0.7866,0.86026,0.52221,0.39363,0.40668,0.24001,1.3177,0.90294,0.87557,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2955.57,1.29022,0.78162,0.85892,0.51314,0.39542,0.40487,0.24039,1.31546,0.90182,0.87459,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2998.88,1.28776,0.78079,0.86009,0.51453,0.39253,0.40523,0.23949,1.31607,0.90152,0.87514,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3043.43,1.28928,0.77969,0.85865,0.51026,0.3953,0.40533,0.24054,1.31444,0.90121,0.87467,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3087,1.28734,0.77539,0.85742,0.51449,0.39617,0.40652,0.23974,1.31454,0.9043,0.8741,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3130.96,1.27296,0.76774,0.8577,0.51965,0.39958,0.40752,0.24009,1.31295,0.90089,0.87334,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3175.77,1.27369,0.76481,0.85785,0.51671,0.39708,0.4056,0.23966,1.31271,0.90187,0.87394,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3220.67,1.27572,0.76567,0.85647,0.5188,0.39975,0.40891,0.24162,1.30878,0.89707,0.8723,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3264.59,1.27693,0.7666,0.85648,0.50744,0.40016,0.40646,0.23926,1.31163,0.90068,0.87322,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3308.02,1.27209,0.76102,0.85698,0.51244,0.39859,0.40771,0.24004,1.31049,0.89898,0.87337,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3351.41,1.2828,0.76548,0.85487,0.51563,0.40359,0.4097,0.24243,1.30915,0.89856,0.87299,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3394.06,1.25861,0.75105,0.85484,0.51461,0.39959,0.4074,0.24187,1.30832,0.89688,0.87261,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
