epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,2878.66,1.1797,0.74751,0.93038,0.63911,0.52142,0.55153,0.33942,1.22335,0.8447,0.95891,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,3002.79,1.17546,0.74646,0.92794,0.62969,0.52666,0.55126,0.33953,1.225,0.84594,0.96155,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,3126.49,1.17058,0.74214,0.92845,0.63071,0.52272,0.55225,0.34203,1.22425,0.84755,0.9601,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,3250.71,1.16309,0.73464,0.92625,0.63628,0.51859,0.55089,0.34058,1.22086,0.84511,0.95893,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,3375.01,1.16857,0.73784,0.92549,0.63578,0.52614,0.5529,0.34238,1.22224,0.8459,0.95909,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,3499.45,1.16069,0.73124,0.92367,0.62558,0.52545,0.55251,0.34235,1.22203,0.84286,0.95942,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,3624.44,1.16917,0.73507,0.92502,0.6345,0.52525,0.55544,0.34354,1.22095,0.84125,0.95861,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,3749.31,1.15967,0.72639,0.92248,0.6243,0.53596,0.55513,0.34371,1.22303,0.84283,0.96034,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,3873.72,1.16343,0.7292,0.92456,0.64087,0.52299,0.55632,0.34412,1.22165,0.84025,0.95969,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,3998.29,1.16796,0.73131,0.92548,0.632,0.52988,0.55628,0.34455,1.22543,0.84215,0.95979,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,4123.12,1.16225,0.72699,0.92468,0.63591,0.52431,0.55688,0.34499,1.22104,0.84116,0.95976,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,4249.42,1.16766,0.72683,0.92486,0.63158,0.53047,0.5562,0.34468,1.2217,0.84049,0.95875,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,4373.71,1.15795,0.71888,0.92323,0.63527,0.53016,0.56021,0.34645,1.22252,0.83788,0.95839,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
