epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,5153.06,1.27707,0.89503,1.01065,0.58926,0.48696,0.51312,0.3098,1.26012,0.90039,1.02029,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,5280.38,1.27172,0.88743,1.00971,0.60548,0.48398,0.51443,0.3116,1.25796,0.89798,1.0205,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,5409.12,1.27495,0.88966,1.00784,0.59492,0.48393,0.5125,0.30847,1.26215,0.90345,1.02105,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,5537.57,1.27708,0.88691,1.0057,0.59344,0.49277,0.51548,0.31045,1.2621,0.89978,1.02068,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,5664.44,1.2707,0.87911,1.00522,0.60674,0.48589,0.51484,0.31122,1.25789,0.89814,1.0193,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,5791.82,1.26485,0.8763,1.00059,0.61051,0.48701,0.51608,0.31148,1.25797,0.89962,1.01771,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,5918.83,1.26524,0.87555,1.00273,0.6146,0.49087,0.52155,0.31501,1.25481,0.89312,1.01665,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,6046.41,1.26039,0.86912,0.99973,0.60882,0.49409,0.52301,0.31544,1.25968,0.89002,1.01758,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,6173.79,1.26439,0.8705,1.00172,0.60266,0.49559,0.5222,0.31481,1.25532,0.88896,1.01577,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,6301.31,1.25818,0.86259,0.99546,0.60545,0.49782,0.52257,0.31561,1.25589,0.88825,1.01535,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,6428.79,1.25686,0.86336,0.99804,0.60459,0.49728,0.52407,0.31805,1.24919,0.88666,1.0137,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,6556.03,1.25204,0.85838,0.99645,0.60815,0.49767,0.52643,0.31702,1.2534,0.88432,1.01427,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6683.43,1.25211,0.85428,0.9949,0.60484,0.50398,0.52595,0.31816,1.25378,0.88226,1.01313,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,6811.02,1.24937,0.85111,0.99543,0.61162,0.49944,0.52708,0.32002,1.2536,0.87997,1.01446,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,6939.47,1.25249,0.85054,0.99227,0.60152,0.50351,0.52853,0.32015,1.24988,0.87661,1.01247,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,7070.34,1.24364,0.84536,0.9942,0.62678,0.49384,0.53041,0.32057,1.25446,0.8781,1.01392,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,135.038,1.24689,0.84146,0.99093,0.60932,0.49909,0.53,0.32182,1.2524,0.87798,1.01271,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,264.024,1.24138,0.83422,0.99116,0.62317,0.50529,0.53437,0.32445,1.25095,0.87293,1.01158,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,393.203,1.23837,0.83236,0.98904,0.61089,0.50669,0.53255,0.32254,1.24961,0.87563,1.01136,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,520.978,1.23587,0.82844,0.99104,0.60408,0.50312,0.53224,0.32342,1.24994,0.87065,1.01065,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,648.998,1.23186,0.82702,0.98663,0.60863,0.50339,0.5338,0.32435,1.24453,0.87032,1.00854,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,777.052,1.2304,0.827,0.98676,0.60788,0.50102,0.532,0.32438,1.24519,0.86958,1.00857,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,905.028,1.22724,0.82279,0.98539,0.60708,0.50608,0.53505,0.32601,1.24563,0.86938,1.00844,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,1034.94,1.22801,0.82253,0.98564,0.61094,0.51097,0.53584,0.32522,1.24641,0.86744,1.00901,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,1163.22,1.22916,0.82001,0.98797,0.61532,0.50194,0.53515,0.3248,1.24562,0.86633,1.0079,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
